CustomerID,Customer Name,Customer Type,City,Email Promotion,First Purchase Date,Last Purchase Date
11000,Mary C Young,Individual,Renton,Non-subscriber,2011-06-21 00:00:00.000,2013-10-03 00:00:00.000
11001,Amber L Young,Individual,Berkeley,Non-subscriber,2011-06-17 00:00:00.000,2014-05-12 00:00:00.000
11002,Courtney Young,Individual,Langley,Subscriber,2011-06-09 00:00:00.000,2013-07-26 00:00:00.000
11003,Jenna W Young,Individual,Oak Bay,Subscriber,2011-05-31 00:00:00.000,2013-10-10 00:00:00.000
11004,Chloe Harris,Individual,Lemon Grove,Non-subscriber,2011-06-25 00:00:00.000,2013-10-01 00:00:00.000
11005,Joe Madan,Individual,Brisbane,Non-subscriber,2011-06-01 00:00:00.000,2013-10-02 00:00:00.000
11006,Chloe C Martin,Individual,Coronado,Non-subscriber,2011-06-26 00:00:00.000,2013-10-14 00:00:00.000
11007,Marshall K Xu,Individual,London,Subscriber,2011-06-11 00:00:00.000,2013-08-19 00:00:00.000
11008,Joe Srini,Individual,North Ryde,Non-subscriber,2011-06-27 00:00:00.000,2013-08-02 00:00:00.000
11009,Joe A Prasad,Individual,Paris,Subscriber,2011-06-29 00:00:00.000,2013-10-09 00:00:00.000
11010,Joe M Schmidt,Individual,Springwood,Non-subscriber,2011-06-16 00:00:00.000,2013-10-23 00:00:00.000
11011,Joe D Rana,Individual,Warrnambool,Non-subscriber,2011-06-01 00:00:00.000,2013-08-19 00:00:00.000
11012,Chloe M Thompson,Individual,Kirkland,Subscriber,2013-08-16 00:00:00.000,2014-03-17 00:00:00.000
11013,Joe G Raman,Individual,Cambridge,Non-subscriber,2013-09-13 00:00:00.000,2014-06-23 00:00:00.000
11014,Chloe M Garcia,Individual,Cliffside,Non-subscriber,2013-08-23 00:00:00.000,2013-09-30 00:00:00.000
11015,Joe Subram,Individual,Matraville,Subscriber,2013-06-20 00:00:00.000,2013-06-20 00:00:00.000
11016,Chloe F Robinson,Individual,San Gabriel,Subscriber,2013-07-12 00:00:00.000,2013-07-12 00:00:00.000
11017,Chloe K Clark,Individual,Palo Alto,Non-subscriber,2011-06-14 00:00:00.000,2014-03-16 00:00:00.000
11018,Joe Mehta,Individual,Bellingham,Non-subscriber,2011-06-19 00:00:00.000,2014-03-26 00:00:00.000
11019,Joe T Belson,Individual,Paris,Non-subscriber,2013-07-15 00:00:00.000,2014-06-14 00:00:00.000
11020,Chloe C Rodriguez,Individual,San Diego,Subscriber,2013-05-31 00:00:00.000,2013-05-31 00:00:00.000
11021,Cindy C Lewis,Individual,Darmstadt,Subscriber,2013-06-25 00:00:00.000,2013-06-25 00:00:00.000
